# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gpt-5.2
#   API Key: OPENAI_API_KEY
#   Batch Size: 20
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions: You are an expert braille translator specializing in Nemeth braille for mathematics and chemistry notation. The user will number the input and follow it with {braille_code} braille to be translated into MathML. Your task is to translate each sequence of Nemeth braille characters into valid MathML code. Remember that the MathML starts with a '<math>' tag and ends with a '</math>' tag. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Do not include any braille unicode characters in the MathML output. Add '|next-item|' between each MathML output. 
#
# 200 items. Usage info: prompt=10471, candidates=12065, total=22536, time=368354ms, TPS=30530.791545793618.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><mi>b</mi><msup><mi>t</mi><mo></mo></msup></mrow></math>
✗ | ⠎⠊⠝⠀⠷⠞⠾⠀⠌⠨⠅⠀⠼⠴⠠ | <math> <mrow> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>≠</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>/</mo> <msqrt> <mn>4</mn> </msqrt> </mrow> </math>
✗ | ⠉⠎⠉⠀⠷⠞⠾⠀⠨⠅⠀⠹⠂⠌⠎⠊⠝⠀⠷⠞⠾⠼⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>1</mn> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <msqrt> <mn>k</mn> </msqrt> </mrow> <mo>=</mo> <mrow> <mfrac> <mn>2</mn> <mi>sin</mi> </mfrac> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠉⠕⠞⠀⠷⠞⠾⠀⠨⠅⠀⠹⠉⠕⠎⠀⠷⠞⠾⠌⠎⠊⠝⠀⠷⠞⠾⠼⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>cot</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>cot</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <msqrt> <mn>k</mn> </msqrt> </mrow> <mo>=</mo> <mrow> <mfrac> <mi>cos</mi> <mi>sin</mi> </mfrac> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠎⠊⠝⠀⠷⠨⠹⠾⠠ | <math> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <msqrt> <mo>=</mo> </msqrt> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠞⠁⠝⠀⠷⠨⠹⠾ | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>θ</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <msqrt> <mo>=</mo> </msqrt> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠨⠹⠸⠲ | <math> <mrow> <mi>θ</mi> <mo>.</mo> </mrow> </math> | <math> <msqrt> <mn>2</mn> </msqrt> </math>
✗ | ⠨⠁ | <math> <mi>α</mi> </math> | <math> <msqrt> <mi>a</mi> </msqrt> </math>
✗ | ⠉⠎⠉⠀⠷⠨⠁⠾⠀⠨⠅⠀⠹⠢⠌⠒⠼⠠ | <math> <mrow> <mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>5</mn> <mn>3</mn> </mfrac> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>csc</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <msqrt> <mi>a</mi> </msqrt> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <msqrt> <mn>k</mn> </msqrt> </mrow> <mo>=</mo> <mfrac> <mn>1</mn> <mn>3</mn> </mfrac> </mrow> </math>
✗ | ⠼⠢⠠ | <math> <mrow> <mn>5</mn> <mo>,</mo> </mrow> </math> | <math> <mn>1</mn> </math>
✗ | ⠼⠲⠠ | <math> <mrow> <mn>4</mn> <mo>,</mo> </mrow> </math> | <math> <mn>3</mn> </math>
✗ | ⠎⠊⠝⠀⠷⠨⠁⠾⠀⠨⠅⠀⠹⠒⠌⠢⠼ | <math> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <msqrt> <mi>a</mi> </msqrt> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <msqrt> <mn>k</mn> </msqrt> </mrow> <mo>=</mo> <mfrac> <mn>3</mn> <mn>1</mn> </mfrac> </mrow> </math>
✗ | ⠹⠒⠌⠢⠼⠸⠲ | <math> <mrow> <mfrac> <mn>3</mn> <mn>5</mn> </mfrac> <mo>.</mo> </mrow> </math> | <math> <mrow> <mfrac> <mn>3</mn> <mn>1</mn> </mfrac> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠹⠜⠆⠻⠌⠆⠼⠠ | <math> <mrow> <mfrac> <msqrt> <mn>2</mn> </msqrt> <mn>2</mn> </mfrac> <mo>,</mo> </mrow> </math> | <math> <mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mn>5</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mfrac> <mn>1</mn> <mn>4</mn> </mfrac> </mrow> </mrow> </math>
✗ | ⠨⠃ | <math> <mi>β</mi> </math> | <math> <msqrt> <mi>b</mi> </msqrt> </math>
✗ | ⠨⠃⠸⠲ | <math> <mrow> <mi>β</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <msqrt> <mi>b</mi> </msqrt> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠉⠕⠎⠀⠷⠞⠾⠀⠨⠅⠀⠼⠴⠠ | <math> <mrow> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <msqrt> <mn>k</mn> </msqrt> <mo>⁢</mo> <mn>4</mn> </mrow> </math>
✗ | ⠳⠉⠕⠎⠀⠷⠞⠾⠳⠀⠐⠅⠱⠀⠼⠂ | <math> <mrow> <mrow> <mo>|</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>|</mo> </mrow> <mo>≤</mo> <mn>1</mn> </mrow> </math> | <math> <mrow> <mrow> <mo>|</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>|</mo> </mrow> <mo>&lt;</mo> <mn>2</mn> </mrow> </math>
✗ | ⠼⠴ | <math> <mn>0</mn> </math> | <math> <mn>4</mn> </math>
✗ | ⠹⠨⠏⠌⠲⠼ | <math> <mfrac> <mi>π</mi> <mn>4</mn> </mfrac> </math> | <math> <mrow> <mo>=</mo> <mfrac> <msqrt> <mi>p</mi> </msqrt> <mn>3</mn> </mfrac> </mrow> </math>
✗ | ⠠⠁⠀⠨⠅⠀⠠⠇⠠⠺ | <math> <mrow> <mi>A</mi> <mo>=</mo> <mrow> <mi>L</mi> <mo>⁣</mo> <mi>W</mi> </mrow> </mrow> </math> | <math> <mrow> <mi>A</mi> <mo>&lt;</mo> <mi>KLW</mi> </mrow> </math>
✗ | ⠰⠃ | <math> <mi>b</mi> </math> | <math> <msub> <mi>b</mi> <mi> </mi> </msub> </math>
✗ | ⠊⠀⠨⠅⠀⠜⠤⠂⠻⠸⠲ | <math> <mrow> <mrow> <mi>i</mi> <mo>=</mo> <msqrt> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msqrt> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>i</mi> <mo>&lt;</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠷⠴⠠⠀⠴⠾ | <math> <mrow> <mo>(</mo> <mrow> <mn>0</mn> <mo>,</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mo>]</mo> </mrow> <mo>⁢</mo> <mi>A</mi> </mrow> <mo>]</mo> </mrow> <mo>)</mo> </mrow> </math>
✗ | ⠭⠘⠆ | <math> <msup> <mi>x</mi> <mn>2</mn> </msup> </math> | <math> <msup> <mi>x</mi> <mn>3</mn> </msup> </math>
✗ | ⠼⠴⠯⠀⠨⠅⠀⠼⠂⠀⣍⠂⠯⠀⠨⠅⠀⠼⠂⠀⣍⠝⠯⠀⠨⠅⠀⠝⠷⠝⠤⠂⠾⠷⠝⠤⠆⠾⠄⠄⠄⠷⠆⠾⠷⠂⠾⠠⠀⠋⠕⠗⠀⠝⠀⠨⠂⠱⠀⠼⠆ | <math> <mtable> <mtr> <mtd> <mrow> <mrow> <mn>0</mn> <mo>!</mo> </mrow> <mo>=</mo> <mn>1</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mn>1</mn> <mo>!</mo> </mrow> <mo>=</mo> <mn>1</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mi>n</mi> <mo>!</mo> </mrow> <mo>=</mo> <mrow> <mrow> <mi>n</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mi>⋯</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>, for </mi> <mo>⁢</mo> <mi>n</mi> </mrow> <mo>≥</mo> <mn>2</mn> </mrow> </mrow> </mtd> </mtr> </mtable> </math> | <math> <mrow> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>k</mi> </mrow> <mo>&lt;</mo> <mn>2</mn> </mrow> <mo>,</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>k</mi> </mrow> <mo>&lt;</mo> <mn>2</mn> </mrow> <mo>,</mo> <mrow> <mi>nk</mi> <mo>&lt;</mo> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mi>…</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>3</mn> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>2</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>for</mi> <mo>⁢</mo> <mi>n</mi> </mrow> <mo>≥</mo> <mn>3</mn> </mrow> </mrow> </mrow> </math>
✗ | ⠁⠰⠝⠀⠨⠅⠀⠁⠂⠬⠙⠷⠝⠤⠂⠾ | <math> <mtable> <mtr> <mtd> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>=</mo> <mrow> <msub> <mi>a</mi> <mn>1</mn> </msub> <mo>+</mo> <mrow> <mi>d</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> </mtd> </mtr> </mtable> </math> | <math> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>&lt;</mo> <mrow> <mi>a</mi> <mo>+</mo> <mrow> <mi>d</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> </math>
✗ | ⠁⠰⠝⠀⠨⠅⠀⠗⠁⠰⠝⠤⠂⠠⠀⠝⠀⠨⠂⠱⠀⠼⠆ | <math> <mrow> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>=</mo> <mrow> <mi>r</mi> <mo>⁢</mo> <msub> <mi>a</mi> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> </msub> </mrow> </mrow> <mo>,</mo> <mrow> <mi>n</mi> <mo>≥</mo> <mn>2</mn> </mrow> </mrow> </math> | <math> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>&lt;</mo> <mrow> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁢</mo> <msub> <mi>a</mi> <mi>n</mi> </msub> </mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>⁢</mo> <mi>n</mi> </mrow> <mo>≥</mo> <mn>3</mn> </mrow> </mrow> </math>
✗ | ⠰⠝ | <math> <mi>n</mi> </math> | <math> <msub> <mi>n</mi> <mi> </mi> </msub> </math>
✗ | ⠠⠎⠰⠝⠀⠨⠅⠀⠹⠁⠂⠷⠂⠤⠗⠘⠝⠐⠾⠌⠂⠤⠗⠼⠠⠀⠗⠀⠌⠨⠅⠀⠼⠂ | <math> <mrow> <mrow> <msub> <mi>S</mi> <mi>n</mi> </msub> <mo>=</mo> <mfrac> <mrow> <msub> <mi>a</mi> <mn>1</mn> </msub> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mn>1</mn> <mo>-</mo> <msup> <mi>r</mi> <mi>n</mi> </msup> </mrow> <mo>)</mo> </mrow> </mrow> <mrow> <mn>1</mn> <mo>-</mo> <mi>r</mi> </mrow> </mfrac> </mrow> <mo>,</mo> <mrow> <mi>r</mi> <mo>≠</mo> <mn>1</mn> </mrow> </mrow> </math> | <math> <mrow> <msub> <mi>S</mi> <mi>n</mi> </msub> <mo>&lt;</mo> <mrow> <mrow> <mo>{</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <mn>2</mn> <mo>⁢</mo> <mfrac> <mrow> <mrow> <mo>-</mo> <mi>r</mi> </mrow> <mo>⁢</mo> <msup> <mi>n</mi> <mrow> <mi>r</mi> <mo>-</mo> <mn>1</mn> </mrow> </msup> </mrow> <mrow> <mo>-</mo> <mi>r</mi> </mrow> </mfrac> </mrow> <mo>}</mo> </mrow> <mo>⁢</mo> <mi>r</mi> <mo>⁢</mo> <mfrac> <mn>1</mn> <mo>&lt;</mo> </mfrac> <mo>⁢</mo> <mn>2</mn> </mrow> </mrow> </math>
✗ | ⠠⠎⠰⠝⠀⠨⠅⠀⠹⠁⠂⠌⠂⠤⠗⠼⠠⠀⠗⠀⠌⠨⠅⠀⠼⠂ | <math> <mrow> <mrow> <msub> <mi>S</mi> <mi>n</mi> </msub> <mo>=</mo> <mfrac> <msub> <mi>a</mi> <mn>1</mn> </msub> <mrow> <mn>1</mn> <mo>-</mo> <mi>r</mi> </mrow> </mfrac> </mrow> <mo>,</mo> <mrow> <mi>r</mi> <mo>≠</mo> <mn>1</mn> </mrow> </mrow> </math> | <math> <mrow> <msub> <mi>S</mi> <mi>n</mi> </msub> <mo>&lt;</mo> <mrow> <mrow> <mo>{</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <mn>2</mn> <mo>⁢</mo> <mfrac> <mrow> <mo>-</mo> <mi>r</mi> </mrow> <mrow> <mo>-</mo> <mi>r</mi> </mrow> </mfrac> </mrow> <mo>}</mo> </mrow> <mo>⁢</mo> <mi>r</mi> <mo>⁢</mo> <mfrac> <mn>1</mn> <mo>&lt;</mo> </mfrac> <mo>⁢</mo> <mn>2</mn> </mrow> </mrow> </math>
✗ | ⠠⠏⠷⠝⠠⠀⠗⠾⠀⠨⠅⠀⠹⠝⠯⠌⠷⠝⠤⠗⠾⠯⠼ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>,</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>n</mi> <mo>!</mo> </mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> <mo>!</mo> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>P</mi> <mi>n</mi> </msub> <mo>⁢</mo> <mi>r</mi> </mrow> <mo>&lt;</mo> <mrow> <mo>{</mo> <mrow> <mi>nk</mi> <mo>⁢</mo> <mfrac> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mi>r</mi> </mrow> <mo>)</mo> </mrow> <mrow> <mi>k</mi> <mo>⁢</mo> <mn>0</mn> </mrow> </mfrac> </mrow> <mo>}</mo> </mrow> </mrow> </math>
✗ | ⠹⠝⠯⠌⠗⠂⠯⠗⠆⠯⠀⠄⠄⠄⠀⠗⠰⠅⠐⠯⠼ | <math> <mfrac> <mrow> <mi>n</mi> <mo>!</mo> </mrow> <mrow> <msub> <mi>r</mi> <mn>1</mn> </msub> <mo>⁢</mo> <mrow> <mo>!</mo> <mrow> <msub> <mi>r</mi> <mn>2</mn> </msub> <mo>⁢</mo> <mrow> <mo>!</mo> <mrow> <mi>…</mi> <mo>⁢</mo> <mrow> <msub> <mi>r</mi> <mi>k</mi> </msub> <mo>!</mo> </mrow> </mrow> </mrow> </mrow> </mrow> </mrow> </mfrac> </math> | <math> <mrow> <mo>{</mo> <mrow> <mrow> <mi>nk</mi> <mo>⁢</mo> <msub> <mi>r</mi> <mn>2</mn> </msub> <mo>⁢</mo> <msub> <mi>r</mi> <mn>3</mn> </msub> <mo>⁢</mo> <mi>r</mi> <mo>⁢</mo> <mi>…</mi> <mo>⁢</mo> <mi>r</mi> </mrow> <mo>&lt;</mo> <mrow> <msub> <mi>k</mi> <mrow> <mi>r</mi> <mo>⁢</mo> <mn>0</mn> </mrow> </msub> <mo>⁢</mo> <mi>k</mi> <mo>⁢</mo> <mn>0</mn> </mrow> </mrow> <mo>}</mo> </mrow> </math>
✗ | ⠷⠗⠬⠂⠾⠞⠓ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>r</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>t</mi> <mo>⁢</mo> <mi>h</mi> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>r</mi> <mo>+</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>th</mi> </mrow> </math>
✗ | ⠠⠏⠷⠠⠑⠾⠀⠨⠅⠀⠹⠝⠷⠠⠑⠾⠌⠝⠷⠠⠎⠾⠼ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mi>n</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mrow> <mi>n</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>S</mi> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <msub> <mi>P</mi> <mi>E</mi> </msub> <mo>&lt;</mo> <mrow> <mo>{</mo> <mrow> <msub> <mi>n</mi> <mi>E</mi> </msub> <mo>⁢</mo> <mfrac> <msub> <mi>n</mi> <mi>S</mi> </msub> <mn>0</mn> </mfrac> </mrow> <mo>}</mo> </mrow> </mrow> </math>
✗ | ⠠⠏⠷⠠⠑⠨⠬⠠⠋⠾⠀⠨⠅⠀⠠⠏⠷⠠⠑⠾⠬⠠⠏⠷⠠⠋⠾ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>E</mi> <mo>∪</mo> <mi>F</mi> </mrow> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>E</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>F</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> </math> | <math> <mrow> <msub> <mi>P</mi> <mrow> <mi>E</mi> <mo>+</mo> <mi>F</mi> </mrow> </msub> <mo>&lt;</mo> <mrow> <msub> <mi>P</mi> <mi>E</mi> </msub> <mo>+</mo> <msub> <mi>P</mi> <mi>F</mi> </msub> </mrow> </mrow> </math>
✗ | ⠭⠀⠨⠅⠀⠹⠤⠃⠬⠤⠜⠃⠘⠆⠐⠤⠲⠁⠉⠻⠌⠆⠁⠼ | <math> <mrow> <mi>x</mi> <mo>=</mo> <mfrac> <mrow> <mrow> <mo>-</mo> <mi>b</mi> </mrow> <mo>±</mo> <msqrt> <mrow> <msup> <mi>b</mi> <mn>2</mn> </msup> <mo>-</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>a</mi> <mo>⁢</mo> <mi>c</mi> </mrow> </mrow> </msqrt> </mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>a</mi> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>&lt;</mo> <mrow> <mrow> <mo>{</mo> <mrow> <mrow> <mo>-</mo> <mi>b</mi> </mrow> <mo>+</mo> <msqrt> <mrow> <msup> <mi>b</mi> <mn>3</mn> </msup> <mo>-</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>a</mi> <mo>⁢</mo> <mi>c</mi> </mrow> </mrow> </msqrt> </mrow> <mo>}</mo> </mrow> <mo>⁢</mo> <mfrac> <mn>3</mn> <mi>a</mi> </mfrac> </mrow> </mrow> </math>
✗ | ⠽⠤ | <math> <mrow> <mi>y</mi> <mo>-</mo> </mrow> </math> | <math> <msub> <mi>y</mi> <mo>-</mo> </msub> </math>
✓ | ⠋⠷⠁⠾⠀⠁⠝⠙⠀⠋⠷⠃⠾ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>a</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mi>and</mi> <mo>⁢</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>b</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>a</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mi>and</mi> <mo>⁢</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>b</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠰⠁ | <math> <mi>a</mi> </math> | <math> <msub> <mi>a</mi> <mi> </mi> </msub> </math>
✗ | ⠭⠤⠅⠸⠲ | <math> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mi>k</mi> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mi>k</mi> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠋⠷⠭⠾ | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠷⠭⠤⠅⠾ | <math> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>k</mi> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>k</mi> </mrow> <mo>)</mo> </mrow> </math>
✗ | ⠷⠭⠤⠉⠾⠠ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>c</mi> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math> | <math> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>c</mi> </mrow> <mo>)</mo> </mrow> <mo>′</mo> </msup> </math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠌⠭⠼ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>1</mn> <mi>x</mi> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>≠</mo> <mrow> <mo>{</mo> <mrow> <mn>0</mn> <mo>,</mo> <mi>x</mi> </mrow> <mo>}</mo> </mrow> </mrow> </math>
