# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-2.5-pro 
#   API Key: GEMINI_API_KEY
#   Batch Size: 40
#   Number of Examples: 940
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/ueb.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 200 items. Usage info: prompt=551491, candidates=10304, total=674485, time=64968ms, TPS=6305.124223602485.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠬⠰⠷⠼⠉⠭⠨⠌⠼⠙⠾⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠊⠌⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠰⠷⠼⠁⠨⠌⠨⠎⠩⠼⠃⠨⠏⠬⠾⠑⠔⠷⠣⠐⠤⠐⠣⠭⠐⠤⠨⠍⠐⠜⠜⠔⠼⠃⠨⠌⠣⠼⠃⠨⠎⠜⠔⠼⠃⠾ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mfrac> <mn>1</mn> <mrow> <mi>σ</mi> <mo>⁢</mo> <msqrt> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> </msqrt> </mrow> </mfrac> <mo>⁢</mo> <msup> <mi>e</mi> <mfrac> <msup> <mrow> <mo>-</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>μ</mi> </mrow> <mo>)</mo> </mrow> </mrow> <mn>2</mn> </msup> <msup> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>σ</mi> </mrow> <mn>2</mn> </msup> </mfrac> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mfrac> <mn>1</mn> <mrow> <mi>σ</mi> <mo>⁢</mo> <msqrt> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> </mrow> </msqrt> </mrow> </mfrac> <mo>⁢</mo> <msup> <mi>e</mi> <mfrac> <msup> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>μ</mi> </mrow> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> <msup> <mrow> <mo>(</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>σ</mi> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mfrac> </msup> </mrow> </mrow> </math>
✓ | ⠎⠔⠐⠣⠄⠸⠡⠭⠼⠚⠚⠚⠉⠰⠙⠼⠑⠄⠐⠜ | <math> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>ϕ</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>ϕ</mi> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠐⠤⠼⠓⠐⠲⠼⠁⠚⠔⠣⠏⠐⠖⠼⠛⠜⠐⠤⠼⠛⠀⠐⠶⠀⠐⠤⠼⠃⠙ | <math> <mrow> <mrow> <mrow> <mrow> <mo>-</mo> <mn>8</mn> </mrow> <mo>⋅</mo> <msup> <mn>10</mn> <mrow> <mi>p</mi> <mo>+</mo> <mn>7</mn> </mrow> </msup> </mrow> <mo>-</mo> <mn>7</mn> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>24</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>-</mo> <mn>8</mn> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>p</mi> <mo>+</mo> <mn>7</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mn>7</mn> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>24</mn> </mrow> </mrow> </math>
✓ | ⠋⠐⠣⠐⠤⠼⠃⠐⠜ | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠭⠰⠱ | <math> <mover> <mi>x</mi> <mo>¯</mo> </mover> </math> | <math> <mover> <mi>x</mi> <mo>¯</mo> </mover> </math>
✓ | ⠐⠣⠼⠁⠲⠚⠛⠔⠼⠙⠐⠜⠔⠏ | <math> <msup> <mrow> <mo>(</mo> <msup> <mn>1.07</mn> <mn>4</mn> </msup> <mo>)</mo> </mrow> <mi>p</mi> </msup> </math> | <math> <msup> <mrow> <mo>(</mo> <msup> <mn>1.07</mn> <mn>4</mn> </msup> <mo>)</mo> </mrow> <mi>p</mi> </msup> </math>
✓ | ⠋⠐⠣⠼⠋⠚⠐⠜⠀⠐⠶⠀⠼⠚⠲⠚⠙ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0.04</mn> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>60</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0.04</mn> </mrow> </math>
✓ | ⠼⠃⠲⠚ | <math> <mn>2.0</mn> </math> | <math> <mn>2.0</mn> </math>
✓ | ⠛⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠔⠼⠃ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> </math>
✗ | ⠰⠰⠰⠎⠊⠝⠔⠣⠐⠤⠼⠁⠜⠐⠣⠎⠊⠝⠐⠣⠭⠐⠜⠐⠜⠬⠍⠁⠽⠀⠝⠕⠞⠀⠃⠑⠀⠑⠟⠥⠁⠇⠀⠞⠕⠀⠭⠰⠄ | <math> <mrow> <mrow> <msup> <mi>sin</mi> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msup> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mi>may not be equal to</mi> <mo>⁢</mo> <mi>x</mi> </mrow> </math> | <math> <mrow> <mrow> <msup> <mi>sin</mi> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msup> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>sin</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mi> may not be equal to </mi> <mo>⁢</mo> <mi>x</mi> </mrow> </math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠭⠰⠔⠼⠃⠐⠖⠼⠑⠭⠐⠖⠼⠋ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>6</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>+</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>6</mn> </mrow> </mrow> </math>
✓ | ⠰⠩⠐⠣⠼⠑⠃⠲⠉⠐⠜⠬ | <math> <msqrt> <mrow> <mo>(</mo> <mn>52.3</mn> <mo>)</mo> </mrow> </msqrt> </math> | <math> <msqrt> <mrow> <mo>(</mo> <mn>52.3</mn> <mo>)</mo> </mrow> </msqrt> </math>
✓ | ⠰⠰⠰⠭⠀⠐⠶⠀⠭⠢⠼⠁⠂⠀⠭⠢⠼⠃⠂⠀⠲⠲⠲⠂⠀⠭⠢⠝⠂⠀⠰⠄ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <msub> <mi>x</mi> <mn>1</mn> </msub> </mrow> <mo>,</mo> <msub> <mi>x</mi> <mn>2</mn> </msub> <mo>,</mo> <mi>…</mi> <mo>,</mo> <msub> <mi>x</mi> <mi>n</mi> </msub> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <msub> <mi>x</mi> <mn>1</mn> </msub> </mrow> <mo>,</mo> <msub> <mi>x</mi> <mn>2</mn> </msub> <mo>,</mo> <mi>…</mi> <mo>,</mo> <msub> <mi>x</mi> <mi>n</mi> </msub> <mo>,</mo> </mrow> </math>
✗ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠭⠰⠔⠼⠁⠸⠌⠼⠃ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mi>x</mi> <mn>1/2</mn> </msup> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <msup> <mi>x</mi> <mrow> <mn>1</mn> <mo>/</mo> <mn>2</mn> </mrow> </msup> </mrow> </math>
✓ | ⠰⠽⠀⠐⠶⠀⠼⠚⠲⠙⠭⠔⠼⠃⠐⠤⠼⠃⠲⠉⠀⠂ | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mn>0.4</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>-</mo> <mn>2.3</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mn>0.4</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>-</mo> <mn>2.3</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠼⠙⠉⠃ | <math> <mn>432</mn> </math> | <math> <mn>432</mn> </math>
✓ | ⠠⠽⠍⠔⠀⠐⠶⠀⠐⠤⠼⠃⠚⠂ | <math> <mrow> <mrow> <mi>Ymin</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>20</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>Ymin</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>20</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠰⠰⠰⠇⠕⠛⠢⠃⠐⠣⠠⠎⠐⠜⠀⠐⠶⠀⠉⠀⠊⠋⠀⠁⠝⠙⠀⠕⠝⠇⠽⠀⠊⠋⠀⠃⠔⠉⠀⠐⠶⠀⠠⠎⠰⠄ | <math> <mrow> <mrow> <msub> <mi>log</mi> <mi>b</mi> </msub> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>S</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>c</mi> <mo>⁢</mo> <mi>if and only if</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>c</mi> </msup> </mrow> <mo>=</mo> <mi>S</mi> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>log</mi> <mi>b</mi> </msub> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>S</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>c</mi> <mo>⁢</mo> <mi>if and only if</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>c</mi> </msup> </mrow> <mo>=</mo> <mi>S</mi> </mrow> </math>
✓ | ⠰⠳⠕ | <math> <mo>→</mo> </math> | <math> <mo>→</mo> </math>
✓ | ⠼⠁⠋⠰⠁⠔⠼⠃⠐⠤⠼⠙⠚⠰⠁⠃⠐⠖⠼⠃⠑⠰⠃⠔⠼⠃ | <math> <mrow> <mrow> <mn>16</mn> <mo>⁢</mo> <msup> <mi>a</mi> <mn>2</mn> </msup> </mrow> <mo>-</mo> <mrow> <mn>40</mn> <mo>⁢</mo> <mi>a</mi> <mo>⁢</mo> <mi>b</mi> </mrow> <mo>+</mo> <mrow> <mn>25</mn> <mo>⁢</mo> <msup> <mi>b</mi> <mn>2</mn> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mn>16</mn> <mo>⁢</mo> <msup> <mi>a</mi> <mn>2</mn> </msup> </mrow> <mo>-</mo> <mrow> <mn>40</mn> <mo>⁢</mo> <mi>a</mi> <mo>⁢</mo> <mi>b</mi> </mrow> <mo>+</mo> <mrow> <mn>25</mn> <mo>⁢</mo> <msup> <mi>b</mi> <mn>2</mn> </msup> </mrow> </mrow> </math>
✓ | ⠰⠓ | <math> <mi>h</mi> </math> | <math> <mi>h</mi> </math>
✗ | ⠓⠐⠣⠧⠐⠜⠀⠐⠶⠀⠧⠐⠲⠋⠐⠣⠧⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>v</mi> <mo>⋅</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>v</mi> <mo>·</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>v</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠐⠣⠰⠓⠂⠀⠰⠅⠐⠜ | <math> <mrow> <mo>(</mo> <mrow> <mi>h</mi> <mo>,</mo> <mi>k</mi> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mi>h</mi> <mo>,</mo> <mi>k</mi> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠰⠩⠼⠉⠐⠣⠼⠙⠐⠜⠬⠀⠘⠔⠀⠼⠉⠲⠙⠋ | <math> <mrow> <msqrt> <mrow> <mn>3</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> </msqrt> <mo>≈</mo> <mn>3.46</mn> </mrow> </math> | <math> <mrow> <msqrt> <mrow> <mn>3</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>4</mn> <mo>)</mo> </mrow> </mrow> </msqrt> <mo>≈</mo> <mn>3.46</mn> </mrow> </math>
✓ | ⠁⠰⠢⠝ | <math> <msub> <mi>a</mi> <mi>n</mi> </msub> </math> | <math> <msub> <mi>a</mi> <mi>n</mi> </msub> </math>
✓ | ⠬⠼⠉⠌⠙⠀⠐⠶⠀⠼⠓⠐⠤⠷⠼⠃⠭⠐⠖⠼⠁⠁⠨⠌⠭⠐⠤⠼⠑⠾ | <math> <mrow> <mfrac> <mn>3</mn> <mn>4</mn> </mfrac> <mo>=</mo> <mrow> <mn>8</mn> <mo>-</mo> <mfrac> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>11</mn> </mrow> <mrow> <mi>x</mi> <mo>-</mo> <mn>5</mn> </mrow> </mfrac> </mrow> </mrow> </math> | <math> <mrow> <mfrac> <mn>3</mn> <mn>4</mn> </mfrac> <mo>=</mo> <mrow> <mn>8</mn> <mo>-</mo> <mfrac> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>11</mn> </mrow> <mrow> <mi>x</mi> <mo>-</mo> <mn>5</mn> </mrow> </mfrac> </mrow> </mrow> </math>
✓ | ⠼⠙⠲⠉ | <math> <mn>4.3</mn> </math> | <math> <mn>4.3</mn> </math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠞⠁⠝⠐⠣⠭⠐⠜⠨⠣⠉⠕⠎⠐⠣⠭⠐⠜⠐⠤⠉⠕⠞⠐⠣⠭⠐⠜⠨⠜ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mrow> <mo>[</mo> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>cot</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>]</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mrow> <mo>[</mo> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>cot</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>]</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠭⠰⠔⠼⠃ | <math> <msup> <mi>x</mi> <mn>2</mn> </msup> </math> | <math> <msup> <mi>x</mi> <mn>2</mn> </msup> </math>
✓ | ⠐⠣⠐⠤⠼⠑⠰⠉⠐⠤⠼⠋⠐⠜⠐⠖⠐⠣⠐⠤⠼⠁⠁⠰⠉⠐⠖⠼⠁⠑⠐⠜ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>5</mn> </mrow> <mo>⁢</mo> <mi>c</mi> </mrow> <mo>-</mo> <mn>6</mn> </mrow> <mo>)</mo> </mrow> <mo>+</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>11</mn> </mrow> <mo>⁢</mo> <mi>c</mi> </mrow> <mo>+</mo> <mn>15</mn> </mrow> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>5</mn> </mrow> <mo>⁢</mo> <mi>c</mi> </mrow> <mo>-</mo> <mn>6</mn> </mrow> <mo>)</mo> </mrow> <mo>+</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>11</mn> </mrow> <mo>⁢</mo> <mi>c</mi> </mrow> <mo>+</mo> <mn>15</mn> </mrow> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠰⠰⠉⠕⠎⠔⠼⠃⠐⠣⠨⠁⠐⠜⠐⠤⠎⠊⠝⠔⠼⠃⠐⠣⠨⠁⠐⠜⠀⠐⠶⠀⠐⠤⠼⠁ | <math> <mrow> <mrow> <mrow> <msup> <mi>cos</mi> <mn>2</mn> </msup> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <msup> <mi>sin</mi> <mn>2</mn> </msup> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mrow> <msup> <mi>cos</mi> <mn>2</mn> </msup> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <msup> <mi>sin</mi> <mn>2</mn> </msup> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </mrow> </math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠔⠼⠃⠐⠖⠭⠐⠤⠼⠁ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> </mrow> </math>
✓ | ⠰⠠⠭ | <math> <mi>X</mi> </math> | <math> <mi>X</mi> </math>
✓ | ⠠⠏⠰⠢⠍ | <math> <msub> <mi>P</mi> <mi>m</mi> </msub> </math> | <math> <msub> <mi>P</mi> <mi>m</mi> </msub> </math>
✓ | ⠰⠰⠰⠍⠀⠐⠶⠀⠷⠼⠃⠠⠑⠨⠌⠧⠔⠼⠃⠾⠬⠰⠄ | <math> <mrow> <mi>m</mi> <mo>=</mo> <mfrac> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>E</mi> </mrow> <msup> <mi>v</mi> <mn>2</mn> </msup> </mfrac> </mrow> </math> | <math> <mrow> <mi>m</mi> <mo>=</mo> <mfrac> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>E</mi> </mrow> <msup> <mi>v</mi> <mn>2</mn> </msup> </mfrac> </mrow> </math>
✓ | ⠼⠁⠁⠃ | <math> <mn>112</mn> </math> | <math> <mn>112</mn> </math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠘⠔⠀⠰⠷⠼⠉⠭⠔⠼⠃⠨⠌⠭⠔⠼⠃⠾⠀⠐⠶⠀⠼⠉⠲ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>≈</mo> <mrow> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> </mfrac> <mo>=</mo> <mn>3.</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>≈</mo> <mrow> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> </mfrac> <mo>=</mo> <mn>3.</mn> </mrow> </mrow> </math>
✓ | ⠰⠰⠩⠔⠼⠑⠐⠤⠼⠃⠙⠉⠬ | <math> <mroot> <mrow> <mo>-</mo> <mn>243</mn> </mrow> <mn>5</mn> </mroot> </math> | <math> <mroot> <mrow> <mo>-</mo> <mn>243</mn> </mrow> <mn>5</mn> </mroot> </math>
✓ | ⠰⠰⠰⠠⠏⠐⠣⠠⠍⠶⠐⠜⠀⠐⠶⠀⠷⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠎⠥⠃⠚⠑⠉⠞⠎⠀⠺⠓⠕⠀⠁⠗⠑⠀⠝⠕⠞⠀⠍⠁⠇⠑⠨⠌⠞⠕⠞⠁⠇⠀⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠎⠥⠃⠚⠑⠉⠞⠎⠾⠀⠐⠶⠀⠷⠼⠙⠙⠐⠖⠼⠙⠨⠌⠼⠙⠉⠐⠖⠼⠊⠐⠖⠼⠙⠙⠐⠖⠼⠙⠾⠀⠐⠶⠀⠼⠙⠓⠌⠁⠚⠚⠀⠐⠶⠀⠼⠲⠙⠓⠰⠄ | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <msup> <mi>M</mi> <mo>′</mo> </msup> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mi>number of subjects who are not male</mi> <mi>total number of subjects</mi> </mfrac> <mo>=</mo> <mfrac> <mrow> <mn>44</mn> <mo>+</mo> <mn>4</mn> </mrow> <mrow> <mn>43</mn> <mo>+</mo> <mn>9</mn> <mo>+</mo> <mn>44</mn> <mo>+</mo> <mn>4</mn> </mrow> </mfrac> <mo>=</mo> <mfrac> <mn>48</mn> <mn>100</mn> </mfrac> <mo>=</mo> <mn>.48</mn> </mrow> </math> | <math> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <msup> <mi>M</mi> <mo>′</mo> </msup> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mi>number of subjects who are not male</mi> <mi>total number of subjects</mi> </mfrac> <mo>=</mo> <mfrac> <mrow> <mn>44</mn> <mo>+</mo> <mn>4</mn> </mrow> <mrow> <mn>43</mn> <mo>+</mo> <mn>9</mn> <mo>+</mo> <mn>44</mn> <mo>+</mo> <mn>4</mn> </mrow> </mfrac> <mo>=</mo> <mfrac> <mn>48</mn> <mn>100</mn> </mfrac> <mo>=</mo> <mn>.48</mn> </mrow> </math>
